ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
11X112,X,2,X112,P.S. 112 BRONXWOOD,Elementary,1,11,11,NY,10466,SUSAN BARNES,718-654-6377,718-654-7931,"PK,0K,01,02,03,04,05,SE",1925 SCHIEFFELIN AVENUE,4000,BRONX,"-73.84423,40.884262",5,"1925 SCHIEFFELIN AVENUE, BRONX, NY, 10466",19,Exact,Match,40.884262,-73.84423,"1925 SCHIEFFELIN AVE, BRONX, NY, 10466",L,NY,36,80297739,45800,10466
10X095,X,2,X095,P.S. 095 SHEILA MENCHER,K-8,1,10,10,NY,10463,Serge Marshall Davis,718-796-9200,718-796-7330,"PK,0K,01,02,03,04,05,06,07,08,SE",3961 HILLMAN AVENUE,1000,BRONX,"-73.89105,40.88312",5,"3961 HILLMAN AVENUE, BRONX, NY, 10463",20,Exact,Match,40.88312,-73.89105,"3961 HILLMAN AVE, BRONX, NY, 10463",L,NY,36,80296528,28100,10463
10X344,X,2,X344,AMPARK NEIGHBORHOOD,Elementary,1,10,10,NY,10463,ELIZABETH LOPEZ-TOWEY,718-548-3451,,"0K,01,02,03,04,05",3961 HILLMAN AVENUE,1000,BRONX,"-73.89105,40.88312",5,"3961 HILLMAN AVENUE, BRONX, NY, 10463",21,Exact,Match,40.88312,-73.89105,"3961 HILLMAN AVE, BRONX, NY, 10463",L,NY,36,80296528,28100,10463
75X723,X,2,X723,X723,K-12 all grades,1,11,75,NY,10475,CHRISTINE WALSH,718-320-1222,718-320-2213,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",3540 BIVONA STREET,1011,BRONX,"-73.83314,40.882633",5,"3540 BIVONA STREET, BRONX, NY, 10475",22,Exact,Match,40.882633,-73.83314,"3540 BIVONA ST, BRONX, NY, 10475",R,NY,36,612291161,46202,10475
11X169,X,2,X169,BAYCHESTER ACADEMY,Early Childhood,1,11,11,NY,10466,CRISTINE VAUGHAN,718-325-1138,718-325-1558,"PK,0K,01,02,SE",3500 EDSON AVENUE,1004,BRONX,"-73.83971,40.881046",5,"3500 EDSON AVENUE, BRONX, NY, 10466",23,Exact,Match,40.881046,-73.83971,"3500 EDSON AVE, BRONX, NY, 10466",R,NY,36,80298050,46000,10466
10X007,X,2,X007,P.S. 007 KINGSBRIDGE,Elementary,1,10,10,NY,10463,Frank Patterson,718-796-8695,718-796-7204,"0K,01,02,03,04,05,SE",3201 KINGSBRIDGE AVENUE,1003,BRONX,"-73.9054,40.881023",5,"3201 KINGSBRIDGE AVENUE, BRONX, NY, 10463",24,Exact,Match,40.881023,-73.9054,"3201 KINGSBRIDGE AVE, BRONX, NY, 10463",L,NY,36,80296557,28700,10463
11X272,X,2,X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,Junior High-Intermediate-Middle,1,11,11,NY,10467,MATTHEW ANGELL,718-994-1395,718-994-1316,"06,07,08,SE",3710 BARNES AVENUE,1002,BRONX,"-73.860855,40.88097",5,"3710 BARNES AVENUE, BRONX, NY, 10467",25,Exact,Match,40.88097,-73.860855,"3710 BARNES AVE, BRONX, NY, 10467",R,NY,36,80297307,39000,10467
11X287,X,2,X287,THE FORWARD SCHOOL,Junior High-Intermediate-Middle,1,11,11,NY,10467,ADRIENNE PHIFER,718-652-0519,718-652-0428,"06,07,08,SE",3710 BARNES AVENUE,1002,BRONX,"-73.860855,40.88097",5,"3710 BARNES AVENUE, BRONX, NY, 10467",26,Exact,Match,40.88097,-73.860855,"3710 BARNES AVE, BRONX, NY, 10467",R,NY,36,80297307,39000,10467
11X289,X,2,X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,Junior High-Intermediate-Middle,1,11,11,NY,10467,JEANETTE VARGAS,718-325-5834,718-325-5676,"06,07,08,SE",3710 BARNES AVENUE,1002,BRONX,"-73.860855,40.88097",5,"3710 BARNES AVENUE, BRONX, NY, 10467",27,Exact,Match,40.88097,-73.860855,"3710 BARNES AVE, BRONX, NY, 10467",R,NY,36,80297307,39000,10467
11X370,X,2,X370,SCHOOL OF DIPLOMACY,Junior High-Intermediate-Middle,1,11,11,NY,10467,JOHN SCALICE,718-994-1028,,"06,07,08,SE",3710 BARNES AVENUE,1002,BRONX,"-73.860855,40.88097",5,"3710 BARNES AVENUE, BRONX, NY, 10467",28,Exact,Match,40.88097,-73.860855,"3710 BARNES AVE, BRONX, NY, 10467",R,NY,36,80297307,39000,10467
10X499,X,2,X499,Kingsbridge Innovative Design Charter School (KIDC),Elementary,2,10,84,NY,10463,Julio Cotto,917-858-1191,646-530-8286,"0K,01",295 WEST  231 STREET,3001,BRONX,"-73.908195,40.88071",5,"295 WEST  231 STREET, BRONX, NY, 10463",29,Exact,Match,40.88071,-73.908195,"295 W 231ST ST, BRONX, NY, 10463",R,NY,36,80296133,28900,10463
10X440,X,2,X440,DEWITT CLINTON HIGH SCHOOL,High school,1,10,10,NY,10468,GERALDINE AMBROSIO,718-543-1000,718-548-0036,"09,10,11,12,SE",100 WEST MOSHOLU PARKWAY SOUTH,1001,BRONX,"-73.88603,40.88064",5,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX, NY, 10468",30,Exact,Match,40.88064,-73.88603,"100 W MOSHOLU PKWY S, BRONX, NY, 10468",L,NY,36,80296662,40900,10468
10X094,X,2,X094,P.S. 094 KINGS COLLEGE SCHOOL,Elementary,1,10,10,NY,10467,DIANE DAPROCIDA,718-405-6345,718-405-6358,"0K,01,02,03,04,05,SE",3530 KINGS COLLEGE PLACE,2000,BRONX,"-73.87574,40.880474",5,"3530 KINGS COLLEGE PLACE, BRONX, NY, 10467",31,Exact,Match,40.880474,-73.87574,"3530 KINGS COLLEGE PL, BRONX, NY, 10467",R,NY,36,80297154,43100,10467
10X037,X,2,X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,K-8,1,10,10,NY,10463,KENNETH PETRICCIONE,718-796-0360,718-796-0054,"0K,01,02,03,04,05,06,07,08,SE",360 WEST 230 STREET,1000,BRONX,"-73.9101,40.87987",5,"360 WEST 230 STREET, BRONX, NY, 10463",32,Exact,Match,40.87987,-73.9101,"360 W 230TH ST, BRONX, NY, 10463",L,NY,36,640815446,29302,10463
10X368,X,2,X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),Secondary School,1,10,10,NY,10463,Yvette Allen,718-432-4300,718-432-4310,"06,07,08,09,10,11,12,SE",2975 TIBBETT AVENUE,4000,BRONX,"-73.9108,40.878677",61,"2975 TIBBETT AVENUE, BRONX, NY, 10463",33,Exact,Match,40.878677,-73.9108,"2975 TIBBETT AVE, BRONX, NY, 10463",L,NY,36,59665246,30900,10463
11X078,X,2,X078,P.S. 078 ANNE HUTCHINSON,Elementary,1,11,11,NY,10469,CLAUDINA SKERRITT,718-652-1244,718-231-2756,"0K,01,02,03,04,05,SE",1400 NEEDHAM AVENUE,4005,BRONX,"-73.851265,40.87853",5,"1400 NEEDHAM AVENUE, BRONX, NY, 10469",34,Exact,Match,40.87853,-73.851265,"1400 NEEDHAM AVE, BRONX, NY, 10469",R,NY,36,80297965,38600,10469
10X207,X,2,X207,P.S. 207,Elementary,1,10,10,NY,10463,MARIA ROSADO,718-796-9645,718-796-7206,"PK,0K,01,02,SE",3030 GODWIN TERRACE,1002,BRONX,"-73.906624,40.878235",5,"3030 GODWIN TERRACE, BRONX, NY, 10463",35,Exact,Match,40.878235,-73.906624,"3030 GODWIN TER, BRONX, NY, 10463",R,NY,36,80296564,28900,10463
10X237,X,2,X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND",High school,1,10,10,NY,10463,RODNEY FISHER,718-432-6491,718-796-7051,"09,10,11,12,SE",120 WEST 231 STREET,2003,BRONX,"-73.9028,40.878166",5,"120 WEST 231 STREET, BRONX, NY, 10463",36,Exact,Match,40.878166,-73.9028,"120 W 231ST ST, BRONX, NY, 10463",L,NY,36,641639191,27700,10463
10X244,X,2,X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,Junior High-Intermediate-Middle,1,10,10,NY,10463,DOLORES PETERSON,718-601-2869,718-601-2867,"06,07,08,SE",120 WEST 231 STREET,2003,BRONX,"-73.9028,40.878166",5,"120 WEST 231 STREET, BRONX, NY, 10463",37,Exact,Match,40.878166,-73.9028,"120 W 231ST ST, BRONX, NY, 10463",L,NY,36,641639191,27700,10463
10X445,X,2,X445,BRONX HIGH SCHOOL OF SCIENCE,High school,1,10,10,NY,10468,VALERIE REIDY,718-817-7700,718-733-7951,"09,10,11,12",75 WEST 205 STREET,1001,BRONX,"-73.89107,40.8776",5,"75 WEST 205 STREET, BRONX, NY, 10468",38,Exact,Match,40.8776,-73.89107,"75 W 205TH ST, BRONX, NY, 10468",R,NY,36,80296650,40900,10468
10X051,X,2,X051,P.S. 051 BRONX NEW SCHOOL,Elementary,1,10,10,NY,10468,PAUL SMITH,718-584-8772,718-584-8935,"0K,01,02,03,04,05,SE",3200 JEROME AVENUE,1001,BRONX,"-73.887566,40.87718",5,"3200 JEROME AVENUE, BRONX, NY, 10468",39,Exact,Match,40.87718,-73.887566,"3200 JEROME AVE, BRONX, NY, 10468",R,NY,36,80296670,41100,10468
10X280,X,2,X280,P.S./M.S. 280 MOSHOLU PARKWAY,K-8,1,10,10,NY,10467,JAMES WEEKS,718-405-6360,718-405-6329,"0K,01,02,03,04,05,06,07,08,SE",3202 STEUBEN AVENUE,7001,BRONX,"-73.8818,40.87711",5,"3202 STEUBEN AVENUE, BRONX, NY, 10467",40,Exact,Match,40.87711,-73.8818,"3202 STEUBEN AVE, BRONX, NY, 10467",R,NY,36,80296714,41900,10467
10X213,X,2,X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,High school,1,10,10,NY,10463,KARALYNE SPERLING,718-563-6678,718-741-5263,"09,10,11,12,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",41,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
10X284,X,2,X284,BRONX SCHOOL OF LAW AND FINANCE,High school,1,10,10,NY,10463,Evan  Schwartz,718-561-0113,718-561-0595,"09,10,11,12,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",42,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
10X397,X,2,X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,High school,1,10,10,NY,10463,NORMA VEGA,718-220-1889,718-220-8758,"09,10,11",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",43,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
10X475,X,2,X475,JOHN F. KENNEDY HIGH SCHOOL,High school,1,10,10,NY,10463,Lisa Luft,718-817-7400,718-562-5132,"09,10,11,12,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",44,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
10X477,X,2,X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,High school,1,10,10,NY,10463,KIRSTEN LARSON,718-561-0973,718-561-5612,"09,10,11,12,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",45,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
10X546,X,2,X546,BRONX THEATRE HIGH SCHOOL,High school,1,10,10,NY,10463,DEBORAH EFFINGER,718-329-2902,718-329-0433,"09,10,11,12,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",46,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
84X539,X,2,X539,The New Visions Charter High School for Advanced Math and Sci,High school,2,10,84,NY,10463,,,,"09,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",47,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
84X553,X,2,X553,The New Visions Charter High School for the Humanities,High school,2,10,84,NY,10463,,,,"09,SE",99 TERRACE VIEW AVENUE,4000,BRONX,"-73.91255,40.87685",61,"99 TERRACE VIEW AVENUE, BRONX, NY, 10463",48,Exact,Match,40.87685,-73.91255,"99 TERRACE VIEW AVE, BRONX, NY, 10463",R,NY,36,59661897,30900,10463
11X253,X,2,X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,High school,1,11,11,NY,10467,STEVEN CHERNIGOFF,718-944-5660,718-944-5690,"09,10,11,12,SE",800 EAST GUN HILL ROAD,1000,BRONX,"-73.86201,40.875965",5,"800 EAST GUN HILL ROAD, BRONX, NY, 10467",49,Exact,Match,40.875965,-73.86201,"800 E GUN HILL RD, BRONX, NY, 10467",R,NY,36,642558965,37200,10467
11X265,X,2,X265,BRONX LAB SCHOOL,High school,1,11,11,NY,10467,CHRISTOPHE LAGARES,718-696-3700,718-696-3730,"09,10,11,12,SE",800 EAST GUN HILL ROAD,1000,BRONX,"-73.86201,40.875965",5,"800 EAST GUN HILL ROAD, BRONX, NY, 10467",50,Exact,Match,40.875965,-73.86201,"800 E GUN HILL RD, BRONX, NY, 10467",R,NY,36,642558965,37200,10467
11X275,X,2,X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,High school,1,11,11,NY,10467,BRUCE ABRAMOWITZ,718-696-3930,718-696-3950,"09,10,11,12,SE",800 EAST GUN HILL ROAD,1000,BRONX,"-73.86201,40.875965",5,"800 EAST GUN HILL ROAD, BRONX, NY, 10467",51,Exact,Match,40.875965,-73.86201,"800 E GUN HILL RD, BRONX, NY, 10467",R,NY,36,642558965,37200,10467
11X290,X,2,X290,BRONX ACADEMY OF HEALTH CAREERS,High school,1,11,11,NY,10467,MARVIA LINDSAY,718-696-3340,718-696-3380,"09,10,11,12,SE",800 EAST GUN HILL ROAD,1000,BRONX,"-73.86201,40.875965",5,"800 EAST GUN HILL ROAD, BRONX, NY, 10467",52,Exact,Match,40.875965,-73.86201,"800 E GUN HILL RD, BRONX, NY, 10467",R,NY,36,642558965,37200,10467
11X544,X,2,X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,High school,1,11,11,NY,10467,FRANCISCO SANCHEZ,718-944-5610,718-944-5650,"09,10,11,12,SE",800 EAST GUN HILL ROAD,1000,BRONX,"-73.86201,40.875965",5,"800 EAST GUN HILL ROAD, BRONX, NY, 10467",53,Exact,Match,40.875965,-73.86201,"800 E GUN HILL RD, BRONX, NY, 10467",R,NY,36,642558965,37200,10467
11X545,X,2,X545,BRONX AEROSPACE HIGH SCHOOL,High school,1,11,11,NY,10467,BARBARA KIRKWEG,718-696-6010,718-696-6030,"09,10,11,12,SE",800 EAST GUN HILL ROAD,1000,BRONX,"-73.86201,40.875965",5,"800 EAST GUN HILL ROAD, BRONX, NY, 10467",54,Exact,Match,40.875965,-73.86201,"800 E GUN HILL RD, BRONX, NY, 10467",R,NY,36,642558965,37200,10467
10X080,X,2,X080,J.H.S. 080 THE MOSHOLU PARKWAY,Junior High-Intermediate-Middle,1,10,10,NY,10467,Lovey Mazique-Rivera,718-405-6300,718-405-6324,"06,07,08,SE",149 EAST MOSHOLU PARKWAY NORTH,2000,BRONX,"-73.88149,40.87567",5,"149 EAST MOSHOLU PARKWAY NORTH, BRONX, NY, 10467",55,Exact,Match,40.87567,-73.88149,"149 E MOSHOLU PKWY N, BRONX, NY, 10467",L,NY,36,80310334,41900,10467
10X056,X,2,X056,P.S. 056 NORWOOD HEIGHTS,Elementary,1,10,10,NY,10467,PRISCILLA SHEERAN,718-405-6330,718-405-6341,"0K,01,02,03,04,05,SE",341 EAST 207 STREET,1002,BRONX,"-73.87523,40.875156",5,"341 EAST 207 STREET, BRONX, NY, 10467",56,Exact,Match,40.875156,-73.87523,"341 E 207TH ST, BRONX, NY, 10467",L,NY,36,80311182,42902,10467
75X176,X,2,X176,P.S. X176,K-12 all grades,1,11,75,NY,10475,RIMA RITHOLTZ,718-904-5750,718-904-5753,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",850 BAYCHESTER AVENUE,8005,BRONX,"-73.83396,40.875114",5,"850 BAYCHESTER AVENUE, BRONX, NY, 10475",57,Exact,Match,40.875114,-73.83396,"850 BAYCHESTER AVE, BRONX, NY, 10475",R,NY,36,609887338,46201,10475
11X178,X,2,X178,P.S. 178 - DR. SELMAN WAXMAN,Elementary,1,11,11,NY,10475,EVELYN FULTON,718-904-5570,718-904-5575,"0K,01,02,03,04,05,SE",850 BAYCHESTER AVENUE,8005,BRONX,"-73.83396,40.875114",5,"850 BAYCHESTER AVENUE, BRONX, NY, 10475",58,Exact,Match,40.875114,-73.83396,"850 BAYCHESTER AVE, BRONX, NY, 10475",R,NY,36,609887338,46201,10475
84X347,X,2,X347,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,High school,2,10,84,NY,10463,Elaine Ruiz Lopez,718-562-2300,718-562-2335,"09,10,11,12",2900 EXTERIOR STREET,1007,BRONX,"-73.906105,40.875065",5,"2900 EXTERIOR STREET, BRONX, NY, 10463",59,Exact,Match,40.875065,-73.906105,"2900 EXTERIOR ST, BRONX, NY, 10463",R,NY,36,80310324,28300,10463
10X360,X,2,X360,P.S. 360,Elementary,1,10,10,NY,10463,Nancy Rodriguez-Lewis,718-548-1511,718-548-1536,"PK,0K,01,02,03,04,05,06,SE",2880 KINGSBRIDGE TERRACE,2002,BRONX,"-73.902504,40.874664",5,"2880 KINGSBRIDGE TERRACE, BRONX, NY, 10463",60,Exact,Match,40.874664,-73.902504,"2880 KINGSBRIDGE TER, BRONX, NY, 10463",R,NY,36,80310362,27300,10463
11X181,X,2,X181,I.S. 181 PABLO CASALS,Junior High-Intermediate-Middle,1,11,11,NY,10475,Christopher Warnock,718-904-5600,718-904-5620,"06,07,08,SE",800 BAYCHESTER AVENUE,8005,BRONX,"-73.83398,40.8745",5,"800 BAYCHESTER AVENUE, BRONX, NY, 10475",61,Exact,Match,40.8745,-73.83398,"800 BAYCHESTER AVE, BRONX, NY, 10475",R,NY,36,609887338,46201,10475
